table,row,dealer,best,best_code,ev_hit,ev_stand,ev_double,ev_split,ev_surrender
Hard Totals,5,2,hit,H,-0.128216,-0.292784,-0.585567,,
Hard Totals,5,3,hit,H,-0.095310,-0.252250,-0.504500,,
Hard Totals,5,4,hit,H,-0.061479,-0.211063,-0.422126,,
Hard Totals,5,5,hit,H,-0.023979,-0.167193,-0.334385,,
Hard Totals,5,6,hit,H,-0.001186,-0.153699,-0.307398,,
Hard Totals,5,7,hit,H,-0.119447,-0.475375,-0.950750,,
Hard Totals,5,8,hit,H,-0.188093,-0.510518,-1.021035,,
Hard Totals,5,9,hit,H,-0.266615,-0.543150,-1.086299,,
Hard Totals,5,10,hit,H,-0.357743,-0.575782,-1.151564,,
Hard Totals,5,A,hit,H,-0.466621,-0.769427,-1.538855,,
Hard Totals,6,2,hit,H,-0.140759,-0.292784,-0.564058,,
Hard Totals,6,3,hit,H,-0.107291,-0.252250,-0.483726,,
Hard Totals,6,4,hit,H,-0.072917,-0.211063,-0.402051,,
Hard Totals,6,5,hit,H,-0.034916,-0.167193,-0.315577,,
Hard Totals,6,6,hit,H,-0.013006,-0.153699,-0.281946,,
Hard Totals,6,7,hit,H,-0.151933,-0.475375,-0.894048,,
Hard Totals,6,8,hit,H,-0.217242,-0.510518,-1.001256,,
Hard Totals,6,9,hit,H,-0.292641,-0.543150,-1.067839,,
Hard Totals,6,10,hit,H,-0.380508,-0.575782,-1.134421,,
Hard Totals,6,A,hit,H,-0.485519,-0.769427,-1.518734,,
Hard Totals,7,2,hit,H,-0.109183,-0.292784,-0.435758,,
Hard Totals,7,3,hit,H,-0.076583,-0.252250,-0.359779,,
Hard Totals,7,4,hit,H,-0.043022,-0.211063,-0.282299,,
Hard Totals,7,5,hit,H,-0.007271,-0.167193,-0.202730,,
Hard Totals,7,6,hit,H,0.029185,-0.153699,-0.138337,,
Hard Totals,7,7,hit,H,-0.068808,-0.475375,-0.589336,,
Hard Totals,7,8,hit,H,-0.210605,-0.510518,-0.847076,,
Hard Totals,7,9,hit,H,-0.285365,-0.543150,-0.957074,,
Hard Totals,7,10,hit,H,-0.365078,-0.575782,-1.031568,,
Hard Totals,7,A,hit,H,-0.496928,-0.769427,-1.398005,,
Hard Totals,8,2,hit,H,-0.021798,-0.292784,-0.204491,,
Hard Totals,8,3,hit,H,0.008005,-0.252250,-0.136216,,
Hard Totals,8,4,hit,H,0.038784,-0.211063,-0.066372,,
Hard Totals,8,5,hit,H,0.070805,-0.167193,0.003456,,
Hard Totals,8,6,hit,H,0.114960,-0.153699,0.087015,,
Hard Totals,8,7,hit,H,0.082207,-0.475375,-0.187730,,
Hard Totals,8,8,hit,H,-0.059898,-0.510518,-0.451987,,
Hard Totals,8,9,hit,H,-0.210186,-0.543150,-0.718501,,
Hard Totals,8,10,hit,H,-0.301777,-0.575782,-0.843004,,
Hard Totals,8,A,hit,H,-0.422745,-0.769427,-1.176670,,
Hard Totals,9,2,hit,H,0.074446,-0.292784,0.061119,,
Hard Totals,9,3,double,D,0.101265,-0.252250,0.120816,,
Hard Totals,9,4,double,D,0.128981,-0.211063,0.181949,,
Hard Totals,9,5,double,D,0.158032,-0.167193,0.243057,,
Hard Totals,9,6,double,D,0.196019,-0.153699,0.317055,,
Hard Totals,9,7,hit,H,0.171868,-0.475375,0.104250,,
Hard Totals,9,8,hit,H,0.098376,-0.510518,-0.026442,,
Hard Totals,9,9,hit,H,-0.052178,-0.543150,-0.300996,,
Hard Totals,9,10,hit,H,-0.213432,-0.575782,-0.584652,,
Hard Totals,9,A,hit,H,-0.334449,-0.769427,-0.915092,,
Hard Totals,10,2,double,D,0.182500,-0.292784,0.358939,,
Hard Totals,10,3,double,D,0.206088,-0.252250,0.409321,,
Hard Totals,10,4,double,D,0.230470,-0.211063,0.460940,,
Hard Totals,10,5,double,D,0.256259,-0.167193,0.512517,,
Hard Totals,10,6,double,D,0.287795,-0.153699,0.575590,,
Hard Totals,10,7,double,D,0.256909,-0.475375,0.392412,,
Hard Totals,10,8,double,D,0.197954,-0.510518,0.286636,,
Hard Totals,10,9,double,D,0.116530,-0.543150,0.144328,,
Hard Totals,10,10,hit,H,-0.044990,-0.575782,-0.150004,,
Hard Totals,10,A,hit,H,-0.217020,-0.769427,-0.577769,,
Hard Totals,11,2,double,D,0.238351,-0.292784,0.470641,,
Hard Totals,11,3,double,D,0.260325,-0.252250,0.517795,,
Hard Totals,11,4,double,D,0.283020,-0.211063,0.566041,,
Hard Totals,11,5,double,D,0.307350,-0.167193,0.614699,,
Hard Totals,11,6,double,D,0.333690,-0.153699,0.667380,,
Hard Totals,11,7,double,D,0.292147,-0.475375,0.462889,,
Hard Totals,11,8,double,D,0.229982,-0.510518,0.350693,,
Hard Totals,11,9,double,D,0.158257,-0.543150,0.227783,,
Hard Totals,11,10,hit,H,0.059691,-0.575782,0.059358,,
Hard Totals,11,A,hit,H,-0.103401,-0.769427,-0.350532,,
Hard Totals,12,2,hit,H,-0.253390,-0.292784,-0.506780,,
Hard Totals,12,3,hit,H,-0.233691,-0.252250,-0.467382,,
Hard Totals,12,4,stand,S,-0.213537,-0.211063,-0.427073,,
Hard Totals,12,5,stand,S,-0.193271,-0.167193,-0.386542,,
Hard Totals,12,6,stand,S,-0.170526,-0.153699,-0.341052,,
Hard Totals,12,7,hit,H,-0.212848,-0.475375,-0.506712,,
Hard Totals,12,8,hit,H,-0.271575,-0.510518,-0.615661,,
Hard Totals,12,9,hit,H,-0.340013,-0.543150,-0.737506,,
Hard Totals,12,10,hit,H,-0.420696,-0.575782,-0.877557,,
Hard Totals,12,A,hit,H,-0.518539,-0.769427,-1.142209,,
Hard Totals,13,2,stand,S,-0.307791,-0.292784,-0.615582,,
Hard Totals,13,3,stand,S,-0.291210,-0.252250,-0.582420,,
Hard Totals,13,4,stand,S,-0.274224,-0.211063,-0.548448,,
Hard Totals,13,5,stand,S,-0.257333,-0.167193,-0.514667,,
Hard Totals,13,6,stand,S,-0.235626,-0.153699,-0.471253,,
Hard Totals,13,7,hit,H,-0.269073,-0.475375,-0.587423,,
Hard Totals,13,8,hit,H,-0.323605,-0.510518,-0.690966,,
Hard Totals,13,9,hit,H,-0.387155,-0.543150,-0.807790,,
Hard Totals,13,10,hit,H,-0.462075,-0.575782,-0.942821,,
Hard Totals,13,A,hit,H,-0.552929,-0.769427,-1.177681,,
Hard Totals,14,2,stand,S,-0.362192,-0.292784,-0.724385,,
Hard Totals,14,3,stand,S,-0.348729,-0.252250,-0.697459,,
Hard Totals,14,4,stand,S,-0.334911,-0.211063,-0.669823,,
Hard Totals,14,5,stand,S,-0.321395,-0.167193,-0.642791,,
Hard Totals,14,6,stand,S,-0.300726,-0.153699,-0.601453,,
Hard Totals,14,7,hit,H,-0.321282,-0.475375,-0.668135,,
Hard Totals,14,8,hit,H,-0.371919,-0.510518,-0.766271,,
Hard Totals,14,9,hit,H,-0.430930,-0.543150,-0.878075,,
Hard Totals,14,10,hit,H,-0.500498,-0.575782,-1.008086,,
Hard Totals,14,A,hit,H,-0.584862,-0.769427,-1.213154,,
Hard Totals,15,2,stand,S,-0.416594,-0.292784,-0.833187,,
Hard Totals,15,3,stand,S,-0.406249,-0.252250,-0.812497,,
Hard Totals,15,4,stand,S,-0.395599,-0.211063,-0.791198,,
Hard Totals,15,5,stand,S,-0.385457,-0.167193,-0.770915,,
Hard Totals,15,6,stand,S,-0.365826,-0.153699,-0.731653,,
Hard Totals,15,7,hit,H,-0.369762,-0.475375,-0.748846,,
Hard Totals,15,8,hit,H,-0.416782,-0.510518,-0.841576,,
Hard Totals,15,9,hit,H,-0.471578,-0.543150,-0.948360,,
Hard Totals,15,10,hit,H,-0.536177,-0.575782,-1.073350,,
Hard Totals,15,A,hit,H,-0.614515,-0.769427,-1.248627,,
Hard Totals,16,2,stand,S,-0.470995,-0.292784,-0.941990,,
Hard Totals,16,3,stand,S,-0.463768,-0.252250,-0.927536,,
Hard Totals,16,4,stand,S,-0.456286,-0.211063,-0.912573,,
Hard Totals,16,5,stand,S,-0.449520,-0.167193,-0.899039,,
Hard Totals,16,6,stand,S,-0.430927,-0.153699,-0.861853,,
Hard Totals,16,7,hit,H,-0.414779,-0.475375,-0.829558,,
Hard Totals,16,8,hit,H,-0.458440,-0.510518,-0.916881,,
Hard Totals,16,9,hit,H,-0.509322,-0.543150,-1.018644,,
Hard Totals,16,10,hit,H,-0.569307,-0.575782,-1.138614,,
Hard Totals,16,A,hit,H,-0.642050,-0.769427,-1.284099,,
Hard Totals,17,2,stand,S,-0.536151,-0.152975,-1.072302,,
Hard Totals,17,3,stand,S,-0.531674,-0.117216,-1.063348,,
Hard Totals,17,4,stand,S,-0.527011,-0.080573,-1.054023,,
Hard Totals,17,5,stand,S,-0.522986,-0.044941,-1.045971,,
Hard Totals,17,6,stand,S,-0.508753,0.011739,-1.017505,,
Hard Totals,17,7,stand,S,-0.483486,-0.106809,-0.966972,,
Hard Totals,17,8,stand,S,-0.505983,-0.381951,-1.011965,,
Hard Totals,17,9,stand,S,-0.553695,-0.423154,-1.107390,,
Hard Totals,17,10,stand,S,-0.610510,-0.464358,-1.221021,,
Hard Totals,17,A,stand,S,-0.669847,-0.638639,-1.339693,,
Hard Totals,18,2,stand,S,-0.622439,0.121742,-1.244877,,
Hard Totals,18,3,stand,S,-0.620005,0.148300,-1.240010,,
Hard Totals,18,4,stand,S,-0.617462,0.175854,-1.234924,,
Hard Totals,18,5,stand,S,-0.615260,0.199561,-1.230519,,
Hard Totals,18,6,stand,S,-0.607479,0.283444,-1.214958,,
Hard Totals,18,7,stand,S,-0.591144,0.399554,-1.182288,,
Hard Totals,18,8,stand,S,-0.591056,0.105951,-1.182112,,
Hard Totals,18,9,stand,S,-0.616528,-0.183163,-1.233057,,
Hard Totals,18,10,stand,S,-0.668856,-0.241509,-1.337712,,
Hard Totals,18,A,stand,S,-0.717765,-0.377061,-1.435530,,
Hard Totals,19,2,stand,S,-0.729077,0.386305,-1.458155,,
Hard Totals,19,3,stand,S,-0.728033,0.404363,-1.456066,,
Hard Totals,19,4,stand,S,-0.726937,0.423179,-1.453874,,
Hard Totals,19,5,stand,S,-0.725991,0.439512,-1.451983,,
Hard Totals,19,6,stand,S,-0.722554,0.495977,-1.445108,,
Hard Totals,19,7,stand,S,-0.715450,0.615976,-1.430899,,
Hard Totals,19,8,stand,S,-0.713660,0.593854,-1.427320,,
Hard Totals,19,9,stand,S,-0.715574,0.287597,-1.431149,,
Hard Totals,19,10,stand,S,-0.744344,-0.018660,-1.488687,,
Hard Totals,19,A,stand,S,-0.785805,-0.115483,-1.571610,,
Hard Totals,20,2,stand,S,-0.855230,0.639987,-1.710461,,
Hard Totals,20,3,stand,S,-0.854977,0.650272,-1.709954,,
Hard Totals,20,4,stand,S,-0.854710,0.661050,-1.709420,,
Hard Totals,20,5,stand,S,-0.854480,0.670360,-1.708961,,
Hard Totals,20,6,stand,S,-0.853628,0.703959,-1.707256,,
Hard Totals,20,7,stand,S,-0.851852,0.773227,-1.703704,,
Hard Totals,20,8,stand,S,-0.851492,0.791815,-1.702984,,
Hard Totals,20,9,stand,S,-0.850833,0.758357,-1.701665,,
Hard Totals,20,10,stand,S,-0.854725,0.434958,-1.709450,,
Hard Totals,20,A,stand,S,-0.873966,0.146095,-1.747932,,
Hard Totals,21,2,stand,S,-1.000000,0.882007,-2.000000,,
Hard Totals,21,3,stand,S,-1.000000,0.885300,-2.000000,,
Hard Totals,21,4,stand,S,-1.000000,0.888767,-2.000000,,
Hard Totals,21,5,stand,S,-1.000000,0.891754,-2.000000,,
Hard Totals,21,6,stand,S,-1.000000,0.902837,-2.000000,,
Hard Totals,21,7,stand,S,-1.000000,0.925926,-2.000000,,
Hard Totals,21,8,stand,S,-1.000000,0.930605,-2.000000,,
Hard Totals,21,9,stand,S,-1.000000,0.939176,-2.000000,,
Hard Totals,21,10,stand,S,-1.000000,0.888576,-2.000000,,
Hard Totals,21,A,stand,S,-1.000000,0.638442,-2.000000,,
